video_name,signer,class,label,split,view,landmarks_path,landmarks_177_path,frames,features_per_frame
s0014_f_w001572,s0014,Bag,1,test,front,landmarks/s0014/Bag/s0014_f_w001572/landmarks.npy,landmarks/s0014/Bag/s0014_f_w001572/landmarks_177.npy,150,177
s0016_f_w001572,s0016,Bag,1,test,front,landmarks/s0016/Bag/s0016_f_w001572/landmarks.npy,landmarks/s0016/Bag/s0016_f_w001572/landmarks_177.npy,180,177
s0017_f_w001572,s0017,Bag,1,test,front,landmarks/s0017/Bag/s0017_f_w001572/landmarks.npy,landmarks/s0017/Bag/s0017_f_w001572/landmarks_177.npy,150,177
s0019_f_w001572,s0019,Bag,1,test,front,landmarks/s0019/Bag/s0019_f_w001572/landmarks.npy,landmarks/s0019/Bag/s0019_f_w001572/landmarks_177.npy,150,177
s0020_f_w001572,s0020,Bag,1,test,front,landmarks/s0020/Bag/s0020_f_w001572/landmarks.npy,landmarks/s0020/Bag/s0020_f_w001572/landmarks_177.npy,180,177
s0004_f_w000125,s0004,Bathroom,2,test,front,landmarks/s0004/Bathroom/s0004_f_w000125/landmarks.npy,landmarks/s0004/Bathroom/s0004_f_w000125/landmarks_177.npy,240,177
s0006_f_w000125,s0006,Bathroom,2,test,front,landmarks/s0006/Bathroom/s0006_f_w000125/landmarks.npy,landmarks/s0006/Bathroom/s0006_f_w000125/landmarks_177.npy,240,177
s0010_f_w000125,s0010,Bathroom,2,test,front,landmarks/s0010/Bathroom/s0010_f_w000125/landmarks.npy,landmarks/s0010/Bathroom/s0010_f_w000125/landmarks_177.npy,210,177
s0014_f_w000125,s0014,Bathroom,2,test,front,landmarks/s0014/Bathroom/s0014_f_w000125/landmarks.npy,landmarks/s0014/Bathroom/s0014_f_w000125/landmarks_177.npy,240,177
s0016_f_w000125,s0016,Bathroom,2,test,front,landmarks/s0016/Bathroom/s0016_f_w000125/landmarks.npy,landmarks/s0016/Bathroom/s0016_f_w000125/landmarks_177.npy,210,177
s0017_f_w000125,s0017,Bathroom,2,test,front,landmarks/s0017/Bathroom/s0017_f_w000125/landmarks.npy,landmarks/s0017/Bathroom/s0017_f_w000125/landmarks_177.npy,180,177
s0019_f_w000125,s0019,Bathroom,2,test,front,landmarks/s0019/Bathroom/s0019_f_w000125/landmarks.npy,landmarks/s0019/Bathroom/s0019_f_w000125/landmarks_177.npy,210,177
s0020_f_w000125,s0020,Bathroom,2,test,front,landmarks/s0020/Bathroom/s0020_f_w000125/landmarks.npy,landmarks/s0020/Bathroom/s0020_f_w000125/landmarks_177.npy,210,177
s0004_f_w000430,s0004,Book,3,test,front,landmarks/s0004/Book/s0004_f_w000430/landmarks.npy,landmarks/s0004/Book/s0004_f_w000430/landmarks_177.npy,120,177
s0006_f_w000430,s0006,Book,3,test,front,landmarks/s0006/Book/s0006_f_w000430/landmarks.npy,landmarks/s0006/Book/s0006_f_w000430/landmarks_177.npy,150,177
s0010_f_w000430,s0010,Book,3,test,front,landmarks/s0010/Book/s0010_f_w000430/landmarks.npy,landmarks/s0010/Book/s0010_f_w000430/landmarks_177.npy,180,177
s0014_f_w000430,s0014,Book,3,test,front,landmarks/s0014/Book/s0014_f_w000430/landmarks.npy,landmarks/s0014/Book/s0014_f_w000430/landmarks_177.npy,150,177
s0016_f_w000430,s0016,Book,3,test,front,landmarks/s0016/Book/s0016_f_w000430/landmarks.npy,landmarks/s0016/Book/s0016_f_w000430/landmarks_177.npy,150,177
s0017_f_w000430,s0017,Book,3,test,front,landmarks/s0017/Book/s0017_f_w000430/landmarks.npy,landmarks/s0017/Book/s0017_f_w000430/landmarks_177.npy,180,177
s0019_f_w000430,s0019,Book,3,test,front,landmarks/s0019/Book/s0019_f_w000430/landmarks.npy,landmarks/s0019/Book/s0019_f_w000430/landmarks_177.npy,180,177
s0020_f_w000430,s0020,Book,3,test,front,landmarks/s0020/Book/s0020_f_w000430/landmarks.npy,landmarks/s0020/Book/s0020_f_w000430/landmarks_177.npy,150,177
s0004_f_w000005,s0004,Brother,4,test,front,landmarks/s0004/Brother/s0004_f_w000005/landmarks.npy,landmarks/s0004/Brother/s0004_f_w000005/landmarks_177.npy,150,177
s0006_f_w000005,s0006,Brother,4,test,front,landmarks/s0006/Brother/s0006_f_w000005/landmarks.npy,landmarks/s0006/Brother/s0006_f_w000005/landmarks_177.npy,180,177
s0010_f_w000005,s0010,Brother,4,test,front,landmarks/s0010/Brother/s0010_f_w000005/landmarks.npy,landmarks/s0010/Brother/s0010_f_w000005/landmarks_177.npy,180,177
s0014_f_w000005,s0014,Brother,4,test,front,landmarks/s0014/Brother/s0014_f_w000005/landmarks.npy,landmarks/s0014/Brother/s0014_f_w000005/landmarks_177.npy,270,177
s0016_f_w000005,s0016,Brother,4,test,front,landmarks/s0016/Brother/s0016_f_w000005/landmarks.npy,landmarks/s0016/Brother/s0016_f_w000005/landmarks_177.npy,180,177
s0017_f_w000005,s0017,Brother,4,test,front,landmarks/s0017/Brother/s0017_f_w000005/landmarks.npy,landmarks/s0017/Brother/s0017_f_w000005/landmarks_177.npy,210,177
s0019_f_w000005,s0019,Brother,4,test,front,landmarks/s0019/Brother/s0019_f_w000005/landmarks.npy,landmarks/s0019/Brother/s0019_f_w000005/landmarks_177.npy,210,177
s0020_f_w000005,s0020,Brother,4,test,front,landmarks/s0020/Brother/s0020_f_w000005/landmarks.npy,landmarks/s0020/Brother/s0020_f_w000005/landmarks_177.npy,180,177
s0004_f_w001133,s0004,Come,5,test,front,landmarks/s0004/Come/s0004_f_w001133/landmarks.npy,landmarks/s0004/Come/s0004_f_w001133/landmarks_177.npy,150,177
s0006_f_w001133,s0006,Come,5,test,front,landmarks/s0006/Come/s0006_f_w001133/landmarks.npy,landmarks/s0006/Come/s0006_f_w001133/landmarks_177.npy,150,177
s0010_f_w001133,s0010,Come,5,test,front,landmarks/s0010/Come/s0010_f_w001133/landmarks.npy,landmarks/s0010/Come/s0010_f_w001133/landmarks_177.npy,210,177
s0014_f_w001133,s0014,Come,5,test,front,landmarks/s0014/Come/s0014_f_w001133/landmarks.npy,landmarks/s0014/Come/s0014_f_w001133/landmarks_177.npy,120,177
s0016_f_w001133,s0016,Come,5,test,front,landmarks/s0016/Come/s0016_f_w001133/landmarks.npy,landmarks/s0016/Come/s0016_f_w001133/landmarks_177.npy,120,177
s0017_f_w001133,s0017,Come,5,test,front,landmarks/s0017/Come/s0017_f_w001133/landmarks.npy,landmarks/s0017/Come/s0017_f_w001133/landmarks_177.npy,120,177
s0019_f_w001133,s0019,Come,5,test,front,landmarks/s0019/Come/s0019_f_w001133/landmarks.npy,landmarks/s0019/Come/s0019_f_w001133/landmarks_177.npy,150,177
s0020_f_w001133,s0020,Come,5,test,front,landmarks/s0020/Come/s0020_f_w001133/landmarks.npy,landmarks/s0020/Come/s0020_f_w001133/landmarks_177.npy,150,177
s0004_f_w001018,s0004,Down,6,test,front,landmarks/s0004/Down/s0004_f_w001018/landmarks.npy,landmarks/s0004/Down/s0004_f_w001018/landmarks_177.npy,150,177
s0006_f_w001018,s0006,Down,6,test,front,landmarks/s0006/Down/s0006_f_w001018/landmarks.npy,landmarks/s0006/Down/s0006_f_w001018/landmarks_177.npy,180,177
s0010_f_w001018,s0010,Down,6,test,front,landmarks/s0010/Down/s0010_f_w001018/landmarks.npy,landmarks/s0010/Down/s0010_f_w001018/landmarks_177.npy,180,177
s0014_f_w001018,s0014,Down,6,test,front,landmarks/s0014/Down/s0014_f_w001018/landmarks.npy,landmarks/s0014/Down/s0014_f_w001018/landmarks_177.npy,180,177
s0016_f_w001018,s0016,Down,6,test,front,landmarks/s0016/Down/s0016_f_w001018/landmarks.npy,landmarks/s0016/Down/s0016_f_w001018/landmarks_177.npy,120,177
s0017_f_w001018,s0017,Down,6,test,front,landmarks/s0017/Down/s0017_f_w001018/landmarks.npy,landmarks/s0017/Down/s0017_f_w001018/landmarks_177.npy,120,177
s0019_f_w001018,s0019,Down,6,test,front,landmarks/s0019/Down/s0019_f_w001018/landmarks.npy,landmarks/s0019/Down/s0019_f_w001018/landmarks_177.npy,150,177
s0020_f_w001018,s0020,Down,6,test,front,landmarks/s0020/Down/s0020_f_w001018/landmarks.npy,landmarks/s0020/Down/s0020_f_w001018/landmarks_177.npy,150,177
s0004_f_w001161,s0004,Drink,7,test,front,landmarks/s0004/Drink/s0004_f_w001161/landmarks.npy,landmarks/s0004/Drink/s0004_f_w001161/landmarks_177.npy,150,177
s0006_f_w001161,s0006,Drink,7,test,front,landmarks/s0006/Drink/s0006_f_w001161/landmarks.npy,landmarks/s0006/Drink/s0006_f_w001161/landmarks_177.npy,180,177
s0010_f_w001161,s0010,Drink,7,test,front,landmarks/s0010/Drink/s0010_f_w001161/landmarks.npy,landmarks/s0010/Drink/s0010_f_w001161/landmarks_177.npy,180,177
s0014_f_w001161,s0014,Drink,7,test,front,landmarks/s0014/Drink/s0014_f_w001161/landmarks.npy,landmarks/s0014/Drink/s0014_f_w001161/landmarks_177.npy,150,177
s0016_f_w001161,s0016,Drink,7,test,front,landmarks/s0016/Drink/s0016_f_w001161/landmarks.npy,landmarks/s0016/Drink/s0016_f_w001161/landmarks_177.npy,150,177
s0017_f_w001161,s0017,Drink,7,test,front,landmarks/s0017/Drink/s0017_f_w001161/landmarks.npy,landmarks/s0017/Drink/s0017_f_w001161/landmarks_177.npy,150,177
s0019_f_w001161,s0019,Drink,7,test,front,landmarks/s0019/Drink/s0019_f_w001161/landmarks.npy,landmarks/s0019/Drink/s0019_f_w001161/landmarks_177.npy,150,177
s0020_f_w001161,s0020,Drink,7,test,front,landmarks/s0020/Drink/s0020_f_w001161/landmarks.npy,landmarks/s0020/Drink/s0020_f_w001161/landmarks_177.npy,150,177
s0004_f_w001635,s0004,Eat [VEB]/Food,8,test,front,landmarks/s0004/Eat [VEB]_Food/s0004_f_w001635/landmarks.npy,landmarks/s0004/Eat [VEB]_Food/s0004_f_w001635/landmarks_177.npy,150,177
s0006_f_w001635,s0006,Eat [VEB]/Food,8,test,front,landmarks/s0006/Eat [VEB]_Food/s0006_f_w001635/landmarks.npy,landmarks/s0006/Eat [VEB]_Food/s0006_f_w001635/landmarks_177.npy,180,177
s0010_f_w001635,s0010,Eat [VEB]/Food,8,test,front,landmarks/s0010/Eat [VEB]_Food/s0010_f_w001635/landmarks.npy,landmarks/s0010/Eat [VEB]_Food/s0010_f_w001635/landmarks_177.npy,150,177
s0014_f_w001635,s0014,Eat [VEB]/Food,8,test,front,landmarks/s0014/Eat [VEB]_Food/s0014_f_w001635/landmarks.npy,landmarks/s0014/Eat [VEB]_Food/s0014_f_w001635/landmarks_177.npy,120,177
s0016_f_w001635,s0016,Eat [VEB]/Food,8,test,front,landmarks/s0016/Eat [VEB]_Food/s0016_f_w001635/landmarks.npy,landmarks/s0016/Eat [VEB]_Food/s0016_f_w001635/landmarks_177.npy,150,177
s0017_f_w001635,s0017,Eat [VEB]/Food,8,test,front,landmarks/s0017/Eat [VEB]_Food/s0017_f_w001635/landmarks.npy,landmarks/s0017/Eat [VEB]_Food/s0017_f_w001635/landmarks_177.npy,90,177
s0019_f_w001635,s0019,Eat [VEB]/Food,8,test,front,landmarks/s0019/Eat [VEB]_Food/s0019_f_w001635/landmarks.npy,landmarks/s0019/Eat [VEB]_Food/s0019_f_w001635/landmarks_177.npy,150,177
s0020_f_w001635,s0020,Eat [VEB]/Food,8,test,front,landmarks/s0020/Eat [VEB]_Food/s0020_f_w001635/landmarks.npy,landmarks/s0020/Eat [VEB]_Food/s0020_f_w001635/landmarks_177.npy,150,177
s0004_f_w000356,s0004,Evening,9,test,front,landmarks/s0004/Evening/s0004_f_w000356/landmarks.npy,landmarks/s0004/Evening/s0004_f_w000356/landmarks_177.npy,150,177
s0006_f_w000356,s0006,Evening,9,test,front,landmarks/s0006/Evening/s0006_f_w000356/landmarks.npy,landmarks/s0006/Evening/s0006_f_w000356/landmarks_177.npy,180,177
s0010_f_w000356,s0010,Evening,9,test,front,landmarks/s0010/Evening/s0010_f_w000356/landmarks.npy,landmarks/s0010/Evening/s0010_f_w000356/landmarks_177.npy,180,177
s0014_f_w000356,s0014,Evening,9,test,front,landmarks/s0014/Evening/s0014_f_w000356/landmarks.npy,landmarks/s0014/Evening/s0014_f_w000356/landmarks_177.npy,180,177
s0016_f_w000356,s0016,Evening,9,test,front,landmarks/s0016/Evening/s0016_f_w000356/landmarks.npy,landmarks/s0016/Evening/s0016_f_w000356/landmarks_177.npy,180,177
s0017_f_w000356,s0017,Evening,9,test,front,landmarks/s0017/Evening/s0017_f_w000356/landmarks.npy,landmarks/s0017/Evening/s0017_f_w000356/landmarks_177.npy,150,177
s0019_f_w000356,s0019,Evening,9,test,front,landmarks/s0019/Evening/s0019_f_w000356/landmarks.npy,landmarks/s0019/Evening/s0019_f_w000356/landmarks_177.npy,150,177
s0020_f_w000356,s0020,Evening,9,test,front,landmarks/s0020/Evening/s0020_f_w000356/landmarks.npy,landmarks/s0020/Evening/s0020_f_w000356/landmarks_177.npy,180,177
s0004_f_w000011,s0004,Family,10,test,front,landmarks/s0004/Family/s0004_f_w000011/landmarks.npy,landmarks/s0004/Family/s0004_f_w000011/landmarks_177.npy,180,177
s0006_f_w000011,s0006,Family,10,test,front,landmarks/s0006/Family/s0006_f_w000011/landmarks.npy,landmarks/s0006/Family/s0006_f_w000011/landmarks_177.npy,240,177
s0010_f_w000011,s0010,Family,10,test,front,landmarks/s0010/Family/s0010_f_w000011/landmarks.npy,landmarks/s0010/Family/s0010_f_w000011/landmarks_177.npy,180,177
s0014_f_w000011,s0014,Family,10,test,front,landmarks/s0014/Family/s0014_f_w000011/landmarks.npy,landmarks/s0014/Family/s0014_f_w000011/landmarks_177.npy,270,177
s0016_f_w000011,s0016,Family,10,test,front,landmarks/s0016/Family/s0016_f_w000011/landmarks.npy,landmarks/s0016/Family/s0016_f_w000011/landmarks_177.npy,180,177
s0017_f_w000011,s0017,Family,10,test,front,landmarks/s0017/Family/s0017_f_w000011/landmarks.npy,landmarks/s0017/Family/s0017_f_w000011/landmarks_177.npy,180,177
s0019_f_w000011,s0019,Family,10,test,front,landmarks/s0019/Family/s0019_f_w000011/landmarks.npy,landmarks/s0019/Family/s0019_f_w000011/landmarks_177.npy,180,177
s0020_f_w000011,s0020,Family,10,test,front,landmarks/s0020/Family/s0020_f_w000011/landmarks.npy,landmarks/s0020/Family/s0020_f_w000011/landmarks_177.npy,180,177
s0004_f_w001019,s0004,Far,11,test,front,landmarks/s0004/Far/s0004_f_w001019/landmarks.npy,landmarks/s0004/Far/s0004_f_w001019/landmarks_177.npy,180,177
s0006_f_w001019,s0006,Far,11,test,front,landmarks/s0006/Far/s0006_f_w001019/landmarks.npy,landmarks/s0006/Far/s0006_f_w001019/landmarks_177.npy,180,177
s0010_f_w001019,s0010,Far,11,test,front,landmarks/s0010/Far/s0010_f_w001019/landmarks.npy,landmarks/s0010/Far/s0010_f_w001019/landmarks_177.npy,180,177
s0014_f_w001019,s0014,Far,11,test,front,landmarks/s0014/Far/s0014_f_w001019/landmarks.npy,landmarks/s0014/Far/s0014_f_w001019/landmarks_177.npy,180,177
s0016_f_w001019,s0016,Far,11,test,front,landmarks/s0016/Far/s0016_f_w001019/landmarks.npy,landmarks/s0016/Far/s0016_f_w001019/landmarks_177.npy,150,177
s0017_f_w001019,s0017,Far,11,test,front,landmarks/s0017/Far/s0017_f_w001019/landmarks.npy,landmarks/s0017/Far/s0017_f_w001019/landmarks_177.npy,120,177
s0019_f_w001019,s0019,Far,11,test,front,landmarks/s0019/Far/s0019_f_w001019/landmarks.npy,landmarks/s0019/Far/s0019_f_w001019/landmarks_177.npy,180,177
s0020_f_w001019,s0020,Far,11,test,front,landmarks/s0020/Far/s0020_f_w001019/landmarks.npy,landmarks/s0020/Far/s0020_f_w001019/landmarks_177.npy,180,177
s0004_f_w000012,s0004,Father,12,test,front,landmarks/s0004/Father/s0004_f_w000012/landmarks.npy,landmarks/s0004/Father/s0004_f_w000012/landmarks_177.npy,150,177
s0006_f_w000012,s0006,Father,12,test,front,landmarks/s0006/Father/s0006_f_w000012/landmarks.npy,landmarks/s0006/Father/s0006_f_w000012/landmarks_177.npy,180,177
s0010_f_w000012,s0010,Father,12,test,front,landmarks/s0010/Father/s0010_f_w000012/landmarks.npy,landmarks/s0010/Father/s0010_f_w000012/landmarks_177.npy,180,177
s0014_f_w000012,s0014,Father,12,test,front,landmarks/s0014/Father/s0014_f_w000012/landmarks.npy,landmarks/s0014/Father/s0014_f_w000012/landmarks_177.npy,210,177
s0016_f_w000012,s0016,Father,12,test,front,landmarks/s0016/Father/s0016_f_w000012/landmarks.npy,landmarks/s0016/Father/s0016_f_w000012/landmarks_177.npy,150,177
s0017_f_w000012,s0017,Father,12,test,front,landmarks/s0017/Father/s0017_f_w000012/landmarks.npy,landmarks/s0017/Father/s0017_f_w000012/landmarks_177.npy,150,177
s0019_f_w000012,s0019,Father,12,test,front,landmarks/s0019/Father/s0019_f_w000012/landmarks.npy,landmarks/s0019/Father/s0019_f_w000012/landmarks_177.npy,150,177
s0020_f_w000012,s0020,Father,12,test,front,landmarks/s0020/Father/s0020_f_w000012/landmarks.npy,landmarks/s0020/Father/s0020_f_w000012/landmarks_177.npy,150,177
s0004_f_w000014,s0004,Friend,13,test,front,landmarks/s0004/Friend/s0004_f_w000014/landmarks.npy,landmarks/s0004/Friend/s0004_f_w000014/landmarks_177.npy,150,177
s0006_f_w000014,s0006,Friend,13,test,front,landmarks/s0006/Friend/s0006_f_w000014/landmarks.npy,landmarks/s0006/Friend/s0006_f_w000014/landmarks_177.npy,210,177
s0010_f_w000014,s0010,Friend,13,test,front,landmarks/s0010/Friend/s0010_f_w000014/landmarks.npy,landmarks/s0010/Friend/s0010_f_w000014/landmarks_177.npy,150,177
s0014_f_w000014,s0014,Friend,13,test,front,landmarks/s0014/Friend/s0014_f_w000014/landmarks.npy,landmarks/s0014/Friend/s0014_f_w000014/landmarks_177.npy,210,177
s0016_f_w000014,s0016,Friend,13,test,front,landmarks/s0016/Friend/s0016_f_w000014/landmarks.npy,landmarks/s0016/Friend/s0016_f_w000014/landmarks_177.npy,180,177
s0017_f_w000014,s0017,Friend,13,test,front,landmarks/s0017/Friend/s0017_f_w000014/landmarks.npy,landmarks/s0017/Friend/s0017_f_w000014/landmarks_177.npy,150,177
s0019_f_w000014,s0019,Friend,13,test,front,landmarks/s0019/Friend/s0019_f_w000014/landmarks.npy,landmarks/s0019/Friend/s0019_f_w000014/landmarks_177.npy,180,177
s0020_f_w000014,s0020,Friend,13,test,front,landmarks/s0020/Friend/s0020_f_w000014/landmarks.npy,landmarks/s0020/Friend/s0020_f_w000014/landmarks_177.npy,150,177
s0004_f_w001185,s0004,Go,14,test,front,landmarks/s0004/Go/s0004_f_w001185/landmarks.npy,landmarks/s0004/Go/s0004_f_w001185/landmarks_177.npy,150,177
s0006_f_w001185,s0006,Go,14,test,front,landmarks/s0006/Go/s0006_f_w001185/landmarks.npy,landmarks/s0006/Go/s0006_f_w001185/landmarks_177.npy,180,177
s0010_f_w001185,s0010,Go,14,test,front,landmarks/s0010/Go/s0010_f_w001185/landmarks.npy,landmarks/s0010/Go/s0010_f_w001185/landmarks_177.npy,150,177
s0014_f_w001185,s0014,Go,14,test,front,landmarks/s0014/Go/s0014_f_w001185/landmarks.npy,landmarks/s0014/Go/s0014_f_w001185/landmarks_177.npy,150,177
s0016_f_w001185,s0016,Go,14,test,front,landmarks/s0016/Go/s0016_f_w001185/landmarks.npy,landmarks/s0016/Go/s0016_f_w001185/landmarks_177.npy,120,177
s0017_f_w001185,s0017,Go,14,test,front,landmarks/s0017/Go/s0017_f_w001185/landmarks.npy,landmarks/s0017/Go/s0017_f_w001185/landmarks_177.npy,120,177
s0019_f_w001185,s0019,Go,14,test,front,landmarks/s0019/Go/s0019_f_w001185/landmarks.npy,landmarks/s0019/Go/s0019_f_w001185/landmarks_177.npy,150,177
s0020_f_w001185,s0020,Go,14,test,front,landmarks/s0020/Go/s0020_f_w001185/landmarks.npy,landmarks/s0020/Go/s0020_f_w001185/landmarks_177.npy,180,177
s0004_f_w000054,s0004,Good,15,test,front,landmarks/s0004/Good/s0004_f_w000054/landmarks.npy,landmarks/s0004/Good/s0004_f_w000054/landmarks_177.npy,120,177
s0006_f_w000054,s0006,Good,15,test,front,landmarks/s0006/Good/s0006_f_w000054/landmarks.npy,landmarks/s0006/Good/s0006_f_w000054/landmarks_177.npy,180,177
s0010_f_w000054,s0010,Good,15,test,front,landmarks/s0010/Good/s0010_f_w000054/landmarks.npy,landmarks/s0010/Good/s0010_f_w000054/landmarks_177.npy,180,177
s0014_f_w000054,s0014,Good,15,test,front,landmarks/s0014/Good/s0014_f_w000054/landmarks.npy,landmarks/s0014/Good/s0014_f_w000054/landmarks_177.npy,180,177
s0016_f_w000054,s0016,Good,15,test,front,landmarks/s0016/Good/s0016_f_w000054/landmarks.npy,landmarks/s0016/Good/s0016_f_w000054/landmarks_177.npy,150,177
s0017_f_w000054,s0017,Good,15,test,front,landmarks/s0017/Good/s0017_f_w000054/landmarks.npy,landmarks/s0017/Good/s0017_f_w000054/landmarks_177.npy,150,177
s0019_f_w000054,s0019,Good,15,test,front,landmarks/s0019/Good/s0019_f_w000054/landmarks.npy,landmarks/s0019/Good/s0019_f_w000054/landmarks_177.npy,150,177
s0020_f_w000054,s0020,Good,15,test,front,landmarks/s0020/Good/s0020_f_w000054/landmarks.npy,landmarks/s0020/Good/s0020_f_w000054/landmarks_177.npy,150,177
s0004_f_w000045,s0004,Bad,16,test,front,landmarks/s0004/Bad/s0004_f_w000045/landmarks.npy,landmarks/s0004/Bad/s0004_f_w000045/landmarks_177.npy,150,177
s0006_f_w000045,s0006,Bad,16,test,front,landmarks/s0006/Bad/s0006_f_w000045/landmarks.npy,landmarks/s0006/Bad/s0006_f_w000045/landmarks_177.npy,150,177
s0010_f_w000045,s0010,Bad,16,test,front,landmarks/s0010/Bad/s0010_f_w000045/landmarks.npy,landmarks/s0010/Bad/s0010_f_w000045/landmarks_177.npy,180,177
s0014_f_w000045,s0014,Bad,16,test,front,landmarks/s0014/Bad/s0014_f_w000045/landmarks.npy,landmarks/s0014/Bad/s0014_f_w000045/landmarks_177.npy,150,177
s0016_f_w000045,s0016,Bad,16,test,front,landmarks/s0016/Bad/s0016_f_w000045/landmarks.npy,landmarks/s0016/Bad/s0016_f_w000045/landmarks_177.npy,150,177
s0017_f_w000045,s0017,Bad,16,test,front,landmarks/s0017/Bad/s0017_f_w000045/landmarks.npy,landmarks/s0017/Bad/s0017_f_w000045/landmarks_177.npy,120,177
s0019_f_w000045,s0019,Bad,16,test,front,landmarks/s0019/Bad/s0019_f_w000045/landmarks.npy,landmarks/s0019/Bad/s0019_f_w000045/landmarks_177.npy,150,177
s0020_f_w000045,s0020,Bad,16,test,front,landmarks/s0020/Bad/s0020_f_w000045/landmarks.npy,landmarks/s0020/Bad/s0020_f_w000045/landmarks_177.npy,150,177
s0004_f_w001370,s0004,Happy,17,test,front,landmarks/s0004/Happy/s0004_f_w001370/landmarks.npy,landmarks/s0004/Happy/s0004_f_w001370/landmarks_177.npy,180,177
s0006_f_w001370,s0006,Happy,17,test,front,landmarks/s0006/Happy/s0006_f_w001370/landmarks.npy,landmarks/s0006/Happy/s0006_f_w001370/landmarks_177.npy,180,177
s0010_f_w001370,s0010,Happy,17,test,front,landmarks/s0010/Happy/s0010_f_w001370/landmarks.npy,landmarks/s0010/Happy/s0010_f_w001370/landmarks_177.npy,180,177
s0014_f_w001370,s0014,Happy,17,test,front,landmarks/s0014/Happy/s0014_f_w001370/landmarks.npy,landmarks/s0014/Happy/s0014_f_w001370/landmarks_177.npy,150,177
s0016_f_w001370,s0016,Happy,17,test,front,landmarks/s0016/Happy/s0016_f_w001370/landmarks.npy,landmarks/s0016/Happy/s0016_f_w001370/landmarks_177.npy,120,177
s0017_f_w001370,s0017,Happy,17,test,front,landmarks/s0017/Happy/s0017_f_w001370/landmarks.npy,landmarks/s0017/Happy/s0017_f_w001370/landmarks_177.npy,120,177
s0019_f_w001370,s0019,Happy,17,test,front,landmarks/s0019/Happy/s0019_f_w001370/landmarks.npy,landmarks/s0019/Happy/s0019_f_w001370/landmarks_177.npy,150,177
s0020_f_w001370,s0020,Happy,17,test,front,landmarks/s0020/Happy/s0020_f_w001370/landmarks.npy,landmarks/s0020/Happy/s0020_f_w001370/landmarks_177.npy,180,177
s0004_f_w001590,s0004,Hello,18,test,front,landmarks/s0004/Hello/s0004_f_w001590/landmarks.npy,landmarks/s0004/Hello/s0004_f_w001590/landmarks_177.npy,120,177
s0006_f_w001590,s0006,Hello,18,test,front,landmarks/s0006/Hello/s0006_f_w001590/landmarks.npy,landmarks/s0006/Hello/s0006_f_w001590/landmarks_177.npy,180,177
s0010_f_w001590,s0010,Hello,18,test,front,landmarks/s0010/Hello/s0010_f_w001590/landmarks.npy,landmarks/s0010/Hello/s0010_f_w001590/landmarks_177.npy,150,177
s0014_f_w001590,s0014,Hello,18,test,front,landmarks/s0014/Hello/s0014_f_w001590/landmarks.npy,landmarks/s0014/Hello/s0014_f_w001590/landmarks_177.npy,150,177
s0016_f_w001590,s0016,Hello,18,test,front,landmarks/s0016/Hello/s0016_f_w001590/landmarks.npy,landmarks/s0016/Hello/s0016_f_w001590/landmarks_177.npy,180,177
s0017_f_w001590,s0017,Hello,18,test,front,landmarks/s0017/Hello/s0017_f_w001590/landmarks.npy,landmarks/s0017/Hello/s0017_f_w001590/landmarks_177.npy,120,177
